Image type	Feature Class	Feature Name	ROI_45_segment_Mass
wavelet-LHH	glszm	LargeAreaHighGrayLevelEmphasis	292524.88095238095
wavelet-LHH	glszm	LargeAreaLowGrayLevelEmphasis	58195.86309523809
wavelet-LHH	glszm	LowGrayLevelZoneEmphasis	0.6964285714285714
wavelet-LHH	glszm	SizeZoneNonUniformity	11.428571428571429
wavelet-LHH	glszm	SizeZoneNonUniformityNormalized	0.272108843537415
wavelet-LHH	glszm	SmallAreaEmphasis	0.5067415071802275
wavelet-LHH	glszm	SmallAreaHighGrayLevelEmphasis	1.1792415343973328
wavelet-LHH	glszm	SmallAreaLowGrayLevelEmphasis	0.3386165003759511
wavelet-LHH	glszm	ZoneEntropy	3.223422567307307
wavelet-LHH	glszm	ZonePercentage	0.01370757180156658
wavelet-LHH	glszm	ZoneVariance	99739.61678004534
wavelet-LHH	ngtdm	Busyness	517.5520997229181
wavelet-LHH	ngtdm	Coarseness	0.0015670134802415238
wavelet-LHH	ngtdm	Complexity	0.4165513076886271
wavelet-LHH	ngtdm	Contrast	0.1036139328532507
wavelet-LHH	ngtdm	Strength	0.0015654340985020146
wavelet-HLL	firstorder	10Percentile	-73.95493463257537
wavelet-HLL	firstorder	90Percentile	54.69908413439639
wavelet-HLL	firstorder	Energy	10320885.566405978
wavelet-HLL	firstorder	Entropy	3.1766326957240962
wavelet-HLL	firstorder	InterquartileRange	61.96069690689735
wavelet-HLL	firstorder	Kurtosis	5.538011307147205
wavelet-HLL	firstorder	Maximum	201.3649393092997
wavelet-HLL	firstorder	MeanAbsoluteDeviation	41.8973999853198
wavelet-HLL	firstorder	Mean	-7.897616019672735
wavelet-HLL	firstorder	Median	-3.7703839370578676
wavelet-HLL	firstorder	Minimum	-304.95395520834984
wavelet-HLL	firstorder	Range	506.31889451764954
wavelet-HLL	firstorder	RobustMeanAbsoluteDeviation	26.210728365075365
wavelet-HLL	firstorder	RootMeanSquared	58.038222208107555
wavelet-HLL	firstorder	Skewness	-0.5952656546100017
wavelet-HLL	firstorder	TotalEnergy	10320885.566405978
wavelet-HLL	firstorder	Uniformity	0.14304029272815275
wavelet-HLL	firstorder	Variance	3306.0628982834774
wavelet-HLL	glcm	Autocorrelation	172.96239832178736
wavelet-HLL	glcm	ClusterProminence	838.7230954419593
wavelet-HLL	glcm	ClusterShade	-21.679097471198602
wavelet-HLL	glcm	ClusterTendency	11.203399096825166
